time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
20,10,0.5977,0.9938,2,0.4255,0.8784
20,11,0.6609,0.975,3,0.7892,0.904
20,12,0.2594,0.4688,30,0.6352,0.8235
20,13,0.3094,0.8625,9,0.3416,0.7955
20,14,0.6937,0.9469,3,0.8152,0.8723
20,15,0.4688,0.8344,9,0.5621,0.8562
20,16,0.4734,0.6562,15,0.5706,0.8636
20,17,0.7453,0.8063,12,0.7993,0.8065
20,18,0.4219,0.5344,18,0.7858,0.8792
20,19,0.3891,0.4219,33,0.8016,0.8216
20,20,0.1313,0.1313,78,0.4928,0.7194
20,21,0.15,0.1688,57,0.6986,0.7857
20,22,0.2859,0.4313,18,0.6687,0.9011
20,23,0.2875,0.5344,33,0.5849,0.7796
20,24,0.2844,0.5437,15,0.5802,0.8973
20,25,0.3094,0.525,42,0.713,0.7801
20,26,0.1781,0.2531,129,0.2301,0.4603
20,27,0.2109,0.3187,75,0.328,0.656
25,0,0.7594,0.8344,6,0.8605,0.8868
25,1,0.7312,0.9656,3,0.7617,0.8393
25,2,0.9281,0.9938,2,0.4183,0.8548
25,3,0.7289,0.9,6,0.8255,0.8643
25,4,0.6656,0.75,21,0.7214,0.8671
25,5,0.8594,0.9844,3,0.6737,0.8256
25,6,0.8438,0.9938,2,0.579,0.8846
25,7,0.7687,0.9844,3,0.6083,0.82
25,8,0.6656,0.8063,15,0.8411,0.88
25,9,0.6406,0.7969,9,0.8464,0.8615
25,10,0.6094,0.9938,2,0.3864,0.7887
25,11,0.6586,0.9187,6,0.7786,0.8187
25,12,0.2719,0.4875,27,0.5879,0.8354
25,13,0.3056,0.8063,9,0.3918,0.8548
25,14,0.6961,0.9281,6,0.7568,0.8929
25,15,0.4844,0.8344,9,0.5261,0.8302
25,16,0.525,0.7125,18,0.5154,0.8043
25,17,0.7688,0.825,6,0.8323,0.8929
25,18,0.45,0.5719,24,0.7403,0.8248
25,19,0.4219,0.4594,30,0.8219,0.8266
25,20,0.1313,0.15,69,0.6672,0.7463
25,21,0.1453,0.1594,66,0.6831,0.7546
25,22,0.2719,0.4031,39,0.6161,0.7958
25,23,0.3,0.5531,24,0.6226,0.8322
25,24,0.2844,0.5531,18,0.5475,0.8741
25,25,0.3188,0.5344,32,0.6951,0.8242
25,26,0.1922,0.2625,72,0.3528,0.6949
25,27,0.2203,0.3281,81,0.3116,0.6233
30,0,0.7531,0.8719,6,0.8911,0.9155
30,1,0.7275,0.9656,3,0.781,0.832
30,2,0.9062,0.975,3,0.7118,0.8676
30,3,0.7453,0.9469,6,0.7897,0.8689
30,4,0.6844,0.7969,15,0.7996,0.8544
30,5,0.8656,0.9656,3,0.834,0.9053
30,6,0.8219,0.9844,3,0.6818,0.8286
30,7,0.7875,0.9844,3,0.6417,0.8125
30,8,0.6539,0.7594,9,0.8476,0.8831
30,9,0.6625,0.825,9,0.8445,0.88
30,10,0.5953,0.9938,2,0.4235,0.9082
30,11,0.6633,0.9375,6,0.812,0.8883
30,12,0.2875,0.4781,24,0.6918,0.8563
30,13,0.33,0.8812,6,0.4155,0.8421
30,14,0.7289,0.9375,3,0.8122,0.8763
30,15,0.5188,0.8531,8,0.5352,0.8298
30,16,0.5625,0.7219,9,0.7924,0.8989
30,17,0.7734,0.825,9,0.8354,0.8393
30,18,0.4641,0.6188,18,0.7792,0.8525
30,19,0.3844,0.4313,27,0.8409,0.8516
30,20,0.1406,0.1406,54,0.5545,0.8036
30,21,0.1641,0.1875,54,0.6725,0.7923
30,22,0.2906,0.4406,42,0.7154,0.7654
30,23,0.3156,0.5906,24,0.6155,0.8168
30,24,0.2719,0.5156,18,0.5347,0.8839
30,25,0.3305,0.5344,48,0.7381,0.8185
30,26,0.2016,0.2719,63,0.3648,0.7296
30,27,0.2156,0.3281,84,0.3099,0.6093
35,0,0.75,0.8344,6,0.8531,0.9221
35,1,0.7275,0.9563,5,0.7682,0.8284
35,2,0.95,0.9938,2,0.4179,0.8537
35,3,0.7547,0.9187,3,0.8582,0.8846
35,4,0.6906,0.7969,14,0.7955,0.8188
35,5,0.8656,0.975,3,0.7906,0.8831
35,6,0.85,0.9844,3,0.6578,0.8235
35,7,0.8,0.9938,2,0.5232,0.7931
35,8,0.6773,0.825,6,0.8792,0.8929
35,9,0.6531,0.8531,9,0.7771,0.8085
35,10,0.5906,0.9844,3,0.5242,0.9109
35,11,0.6445,0.8625,6,0.8838,0.8918
35,12,0.2906,0.4688,24,0.7047,0.8588
35,13,0.3356,0.8438,6,0.4377,0.88
35,14,0.7336,0.9469,6,0.7687,0.9139
35,15,0.5281,0.8812,8,0.5238,0.7895
35,16,0.525,0.6656,12,0.784,0.8879
35,17,0.7078,0.7969,9,0.857,0.8615
35,18,0.4781,0.6094,15,0.8634,0.88
35,19,0.3937,0.4406,15,0.8289,0.9162
35,20,0.1313,0.1406,63,0.5456,0.7709
35,21,0.1547,0.1688,54,0.6367,0.797
35,22,0.2812,0.4219,24,0.7679,0.8703
35,23,0.3094,0.525,24,0.6561,0.8455
35,24,0.2531,0.4688,21,0.5502,0.8765
35,25,0.3398,0.5813,48,0.6825,0.8185
35,26,0.2063,0.2906,107,0.2697,0.5286
35,27,0.2297,0.3469,63,0.3493,0.6986
40,0,0.75,0.8438,8,0.8078,0.8961
40,1,0.7294,0.9375,3,0.7508,0.8554
40,2,0.9406,0.9844,3,0.6496,0.7857
40,3,0.7406,0.9375,3,0.8619,0.8831
40,4,0.6813,0.7969,27,0.6595,0.7181
40,5,0.8438,0.9563,3,0.8044,0.8916
40,6,0.8469,0.9844,3,0.6264,0.832
40,7,0.8125,0.9938,2,0.5113,0.8151
40,8,0.6727,0.8625,6,0.8434,0.8657
40,9,0.6375,0.8344,9,0.8381,0.8916
40,10,0.5789,0.9844,3,0.4946,0.8091
40,11,0.6609,0.8531,6,0.8471,0.8723
40,12,0.2844,0.45,36,0.6836,0.7955
40,13,0.3281,0.8063,12,0.4289,0.8065
40,14,0.7336,0.975,3,0.7651,0.9151
40,15,0.5438,0.8812,6,0.5193,0.8421
40,16,0.5203,0.6469,15,0.797,0.8673
40,17,0.6938,0.7594,15,0.8144,0.8235
40,18,0.4734,0.6281,23,0.83,0.8532
40,19,0.4125,0.4875,15,0.8269,0.9085
40,20,0.1266,0.1406,111,0.4619,0.5964
40,21,0.1688,0.1781,33,0.7142,0.8745
40,22,0.2766,0.4125,27,0.7064,0.8564
40,23,0.3281,0.5344,24,0.6847,0.8899
40,24,0.2594,0.4594,33,0.5154,0.8584
40,25,0.3539,0.6094,27,0.7622,0.784
40,26,0.2109,0.3094,47,0.4042,0.7873
40,27,0.2297,0.3563,63,0.3471,0.6942
45,0,0.7281,0.7969,9,0.8229,0.8615
45,1,0.72,0.9375,3,0.7425,0.85
45,2,0.9219,0.9938,2,0.4962,0.88
45,3,0.7359,0.9187,6,0.8059,0.8807
45,4,0.6937,0.8156,21,0.716,0.8029
45,5,0.8438,0.9281,6,0.7648,0.8696
45,6,0.8406,0.9938,2,0.4727,0.8467
45,7,0.8344,0.9938,2,0.5218,0.85
45,8,0.6727,0.8625,6,0.8696,0.8881
45,9,0.675,0.8344,6,0.8551,0.8929
45,10,0.5859,0.9844,3,0.5013,0.9053
45,11,0.6609,0.8719,12,0.7739,0.8761
45,12,0.3062,0.4875,45,0.6562,0.7256
45,13,0.3488,0.8438,6,0.4532,0.88
45,14,0.7477,0.9469,3,0.7573,0.8235
45,15,0.5406,0.9094,6,0.4856,0.7931
45,16,0.4781,0.6,27,0.7416,0.7891
45,17,0.6937,0.7781,15,0.8224,0.856
45,18,0.4594,0.6094,15,0.8789,0.88
45,19,0.4359,0.525,15,0.8286,0.9013
45,20,0.1547,0.1594,66,0.6126,0.7546
45,21,0.1781,0.1875,33,0.711,0.8731
45,22,0.2906,0.4406,21,0.7195,0.8827
45,23,0.3125,0.5062,24,0.6575,0.8929
45,24,0.2563,0.4781,42,0.519,0.8264
45,25,0.3469,0.5906,42,0.6716,0.8489
45,26,0.2203,0.3375,95,0.2759,0.5519
45,27,0.2297,0.3469,63,0.3493,0.6986
50,0,0.7188,0.7594,9,0.8404,0.8831
50,1,0.6638,0.8625,6,0.7208,0.8636
50,2,0.9156,0.9938,2,0.5083,0.7857
50,3,0.7312,0.9375,3,0.8471,0.8537
50,4,0.6937,0.8438,12,0.7776,0.8696
50,5,0.8594,0.9563,3,0.8375,0.8846
50,6,0.8344,0.975,3,0.6806,0.8433
50,7,0.8312,0.9844,3,0.5211,0.7632
50,8,0.6867,0.9094,3,0.896,0.9053
50,9,0.7031,0.8531,9,0.8283,0.8564
50,10,0.5766,0.9469,3,0.6028,0.8846
50,11,0.6492,0.8625,6,0.8487,0.877
50,12,0.2969,0.4688,24,0.7024,0.8588
50,13,0.345,0.8063,9,0.4694,0.8643
50,14,0.7195,0.9187,6,0.7325,0.8125
50,15,0.5375,0.8906,5,0.5723,0.8598
50,16,0.45,0.5531,42,0.7024,0.7063
50,17,0.6422,0.75,9,0.8632,0.8875
50,18,0.4641,0.6094,18,0.8179,0.856
50,19,0.4453,0.5344,20,0.8091,0.8658
50,20,0.1688,0.1781,69,0.7183,0.7376
50,21,0.1734,0.1781,57,0.7674,0.7857
50,22,0.2953,0.4313,15,0.8194,0.9176
50,23,0.2781,0.4125,30,0.636,0.8696
50,24,0.2437,0.4406,38,0.5144,0.8449
50,25,0.3375,0.6,36,0.6929,0.8022
50,26,0.2156,0.3281,39,0.4093,0.8186
50,27,0.2297,0.3469,63,0.3493,0.6986
55,0,0.6969,0.7219,9,0.8499,0.9053
55,1,0.6375,0.8156,11,0.7632,0.8966
